variant,food,roc_auc,pr_auc,converged_epoch,train_time_sec,infer_time_sec,n_params
Mean,Almond,0.9330,0.7568,127,420.2539,2.2174,47339
Mean,Pistachio,0.9587,0.8128,99,344.0975,2.2310,47339
Mean,GarlicStems,0.9847,0.9252,107,368.4199,2.1942,47339
Mean,AVG,0.9588,0.8316,111.0000,377.5905,2.2142,47339.0000
Mean per column (*),Almond,0.9732,0.8565,90,312.9391,2.2310,47339
Mean per column (*),Pistachio,0.9601,0.8718,118,400.2035,2.2002,47339
Mean per column (*),GarlicStems,0.9953,0.9355,77,279.1596,2.2139,47339
Mean per column (*),AVG,0.9762,0.8879,95.0000,330.7674,2.2150,47339.0000
No normalization,Almond,0.5000,0.5078,52,202.0740,2.1739,47339
No normalization,Pistachio,0.5000,0.5079,52,204.6711,2.2677,47339
No normalization,GarlicStems,0.5000,0.5064,52,204.7843,2.1940,47339
No normalization,AVG,0.5000,0.5074,52.0000,203.8431,2.2119,47339.0000
