variant,food,roc_auc,pr_auc,converged_epoch,train_time_sec,infer_time_sec,n_params
Partial windows (*),Almond,0.9732,0.8565,90,312.9391,2.2310,47339
Partial windows (*),Pistachio,0.9601,0.8718,118,400.2035,2.2002,47339
Partial windows (*),GarlicStems,0.9953,0.9355,77,279.1596,2.2139,47339
Partial windows (*),AVG,0.9762,0.8879,95.0000,330.7674,2.2150,47339.0000
Non-Partial / CNN,Almond,0.9099,0.7175,235,237.5769,1.6170,27287
Non-Partial / CNN,Pistachio,0.9061,0.2419,133,139.9278,1.6277,27287
Non-Partial / CNN,GarlicStems,0.9983,0.9206,71,81.0050,1.6225,27287
Non-Partial / CNN,AVG,0.9381,0.6266,146.3333,152.8366,1.6224,27287.0000
Non-Partial / Linear,Almond,0.8058,0.7841,154,141.2292,1.5971,156216
Non-Partial / Linear,Pistachio,0.8155,0.7982,130,121.2466,1.6174,156216
Non-Partial / Linear,GarlicStems,0.8118,0.7242,115,108.4465,1.6196,156216
Non-Partial / Linear,AVG,0.8110,0.7688,133.0000,123.6408,1.6114,156216.0000
